"Title","Type_Episodes","Airing_Period","Members","Score"
"Sousou no Frieren","TV (28 eps)","Sep 2023 - Mar 2024","987,444","9.31"
"Fullmetal Alchemist: Brotherhood","TV (64 eps)","Apr 2009 - Jul 2010","3,458,759","9.10"
"One Piece Fan Letter","TV Special (1 eps)","Oct 2024 - Oct 2024","78,418","9.08"
"Steins;Gate","TV (24 eps)","Apr 2011 - Sep 2011","2,649,874","9.07"
"Shingeki no Kyojin Season 3 Part 2","TV (10 eps)","Apr 2019 - Jul 2019","2,385,461","9.05"
"Gintama°","TV (51 eps)","Apr 2015 - Mar 2016","652,642","9.05"
"Gintama: The Final","Movie (1 eps)","Jan 2021 - Jan 2021","161,358","9.04"
"Gintama'","TV (51 eps)","Apr 2011 - Mar 2012","576,490","9.03"
"Hunter x Hunter (2011)","TV (148 eps)","Oct 2011 - Sep 2014","2,956,121","9.03"
"Gintama': Enchousen","TV (13 eps)","Oct 2012 - Mar 2013","336,068","9.02"
"Ginga Eiyuu Densetsu","OVA (110 eps)","Jan 1988 - Mar 1997","335,044","9.01"
"Bleach: Sennen Kessen-hen","TV (13 eps)","Oct 2022 - Dec 2022","603,752","9.00"
"Kaguya-sama wa Kokurasetai: Ultra Romantic","TV (13 eps)","Apr 2022 - Jun 2022","996,054","8.99"
"Gintama.","TV (12 eps)","Jan 2017 - Mar 2017","325,904","8.98"
"Fruits Basket: The Final","TV (13 eps)","Apr 2021 - Jun 2021","508,953","8.96"
"Clannad: After Story","TV (24 eps)","Oct 2008 - Mar 2009","1,224,672","8.93"
"Gintama","TV (201 eps)","Apr 2006 - Mar 2010","1,097,405","8.93"
"Koe no Katachi","Movie (1 eps)","Sep 2016 - Sep 2016","2,428,123","8.93"
"3-gatsu no Lion 2nd Season","TV (22 eps)","Oct 2017 - Mar 2018","414,612","8.91"
"Code Geass: Hangyaku no Lelouch R2","TV (25 eps)","Apr 2008 - Sep 2008","1,839,764","8.91"
"Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare","Movie (1 eps)","Jul 2013 - Jul 2013","247,654","8.90"
"Gintama. Shirogane no Tamashii-hen - Kouhan-sen","TV (14 eps)","Jul 2018 - Oct 2018","207,650","8.88"
"Kusuriya no Hitorigoto","TV (24 eps)","Oct 2023 - Mar 2024","526,605","8.88"
"Monster","TV (74 eps)","Apr 2004 - Sep 2005","1,193,579","8.88"
"Owarimonogatari 2nd Season","TV Special (7 eps)","Aug 2017 - Aug 2017","413,174","8.87"
"Shingeki no Kyojin: The Final Season - Kanketsu-hen","TV Special (2 eps)","Mar 2023 - Nov 2023","727,201","8.87"
"Violet Evergarden Movie","Movie (1 eps)","Sep 2020 - Sep 2020","652,239","8.85"
"Kimi no Na wa.","Movie (1 eps)","Aug 2016 - Aug 2016","2,843,333","8.83"
"Kingdom 3rd Season","TV (26 eps)","Apr 2020 - Oct 2021","112,306","8.83"
"Ore dake Level Up na Ken Season 2: Arise from the Shadow","TV (13 eps)","Jan 2025 -","221,760","8.82"
"Vinland Saga Season 2","TV (24 eps)","Jan 2023 - Jun 2023","698,446","8.81"
"Gintama. Shirogane no Tamashii-hen","TV (12 eps)","Jan 2018 - Mar 2018","221,060","8.81"
"Mob Psycho 100 II","TV (13 eps)","Jan 2019 - Apr 2019","1,603,485","8.79"
"Kizumonogatari III: Reiketsu-hen","Movie (1 eps)","Jan 2017 - Jan 2017","481,155","8.78"
